name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,max_torque_rpm,selling_price
Mahindra Scorpio EX,2013,195000,Diesel,Individual,Manual,First Owner,14.0,2523.0,75.0,8.0,200.0,1800.0,500000
Tata Safari DICOR 2.2 EX 4x2,2012,120000,Diesel,Individual,Manual,First Owner,13.9,2179.0,138.03,7.0,320.0,2200.0,325000
Maruti Wagon R LXI BS IV,2012,360003,Petrol,Individual,Manual,Second Owner,18.0,998.0,67.1,5.0,90.0,3500.0,220000
Maruti 800 AC,1999,60000,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,4.0,59.0,2500.0,55000
Renault KWID RXT,2016,20000,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,330000
Mahindra Bolero 2011-2019 EX NON AC,2014,37000,Diesel,Individual,Manual,First Owner,15.9,2523.0,62.1,7.0,195.0,1800.0,480000
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,57000,Diesel,Individual,Manual,Second Owner,25.0,1248.0,88.5,5.0,200.0,1750.0,950000
Hyundai Verna Transform SX VGT CRDi,2011,110000,Diesel,Individual,Manual,Second Owner,16.0,1493.0,110.0,5.0,235.3596,2325.0,300000
Hyundai Verna Xi (Petrol),2006,110000,Petrol,Individual,Manual,Fourth & Above Owner,13.0,1599.0,103.2,5.0,146.11908499999998,3000.0,170000
Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2013,120000,Diesel,Individual,Manual,Second Owner,12.9,2494.0,100.57,8.0,200.0,2400.0,850000
Tata Tigor 2017-2020 XZ Plus Diesel,2019,8079,Diesel,Dealer,Manual,First Owner,24.0,1047.0,69.0,5.0,140.0,2400.0,900000
Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2015,114368,Diesel,Dealer,Manual,Second Owner,12.9,2494.0,100.6,7.0,200.0,2400.0,1325000
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,79990,Diesel,Dealer,Manual,Second Owner,17.0,1399.0,67.0,5.0,160.0,2000.0,350000
Ford Figo Diesel Titanium,2012,81632,Diesel,Dealer,Manual,First Owner,20.0,1399.0,68.0,5.0,160.0,2000.0,425000
Ford Ecosport 1.5 DV5 MT Titanium,2014,101504,Diesel,Dealer,Manual,First Owner,22.0,1498.0,89.84,5.0,204.0,2375.0,750000
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,90165,Diesel,Dealer,Manual,First Owner,17.0,1399.0,67.0,5.0,160.0,2000.0,450000
Mahindra XUV500 W8 2WD,2013,85036,Diesel,Dealer,Manual,Second Owner,15.0,2179.0,140.0,7.0,330.0,2200.0,900000
Fiat Punto 1.3 Emotion,2013,160254,Diesel,Dealer,Manual,Second Owner,,,,,,,350000
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,125531,Diesel,Dealer,Manual,Second Owner,22.7,1498.0,98.59,5.0,205.0,2500.0,600000
Hyundai Verna VTVT 1.6 SX Option,2019,10000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,151.0,4850.0,1100000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,40000,Diesel,Individual,Automatic,First Owner,21.0,1497.0,108.5,5.0,260.0,2125.0,950000
Honda City 1.5 E MT,2008,120000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,146.0,4800.0,229999
Maruti Ritz VDi,2013,100000,Diesel,Individual,Manual,Third Owner,23.0,1248.0,73.94,5.0,190.0,2000.0,409999
Ford Fiesta EXi 1.4 TDCi Ltd,2011,110000,Diesel,Individual,Manual,Third Owner,17.0,1399.0,68.0,5.0,159.848395,2000.0,300000
Tata Indica V2 DLG TC,2008,120000,Diesel,Individual,Manual,Third Owner,16.0,1405.0,68.0,5.0,127.48644999999999,2500.0,175000
Maruti Alto LX,2000,206000,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796.0,46.3,5.0,62.0,3000.0,108000
Maruti Celerio ZXI,2017,40000,Petrol,Individual,Manual,Second Owner,23.0,998.0,67.04,5.0,90.0,3500.0,425000
Chevrolet Optra Magnum 2.0 LS,2011,170000,Diesel,Individual,Manual,Fourth & Above Owner,16.5,1991.0,123.7,5.0,305.0,2000.0,272000
Hyundai Creta 1.4 CRDi S Plus,2017,105000,Diesel,Individual,Manual,First Owner,21.3,1396.0,88.7,5.0,219.7,2125.0,1125000
Volkswagen Polo Diesel Highline 1.2L,2011,80000,Diesel,Individual,Manual,Second Owner,22.0,1199.0,73.9,5.0,180.0,2000.0,388000
Hyundai Verna Transform SX VTVT,2011,60000,Petrol,Individual,Manual,First Owner,16.0,1599.0,103.2,5.0,146.11908499999998,3000.0,400000
Honda City i DTEC VX,2015,70000,Diesel,Individual,Manual,Third Owner,25.0,1498.0,98.6,5.0,200.0,1750.0,760000
Maruti Alto LXi,2009,90000,Petrol,Individual,Manual,First Owner,19.0,796.0,46.3,5.0,62.0,3000.0,120000
Maruti Swift Dzire VDI,2019,25000,Diesel,Individual,Manual,First Owner,28.0,1248.0,74.02,5.0,190.0,2000.0,757000
Maruti Alto 800 VXI,2015,53000,Petrol,Individual,Manual,Second Owner,22.7,796.0,47.3,5.0,69.0,3500.0,270000
Tata Sumo MKII GX BS IV,2011,90000,Diesel,Individual,Manual,Second Owner,13.5,2179.0,118.35,7.0,250.0,2250.0,250000
Toyota Innova Crysta 2.5 VX BS IV,2011,60000,Diesel,Individual,Manual,First Owner,12.0,2494.0,102.0,7.0,200.05565999999996,2400.0,800000
Toyota Fortuner 4x2 Manual,2014,150000,Diesel,Individual,Manual,First Owner,13.0,2982.0,168.5,7.0,343.0,2400.0,1380000
Mahindra Thar CRDe AC,2014,24000,Diesel,Individual,Manual,First Owner,16.5,2498.0,105.0,6.0,247.0,1900.0,700000
Honda Mobilio S i DTEC,2016,100000,Diesel,Individual,Manual,Second Owner,24.0,1498.0,98.6,7.0,200.0,1750.0,450000
Mahindra KUV 100 G80 K8,2018,6000,Petrol,Individual,Manual,First Owner,18.1,1198.0,82.0,6.0,115.0,3550.0,650000
Mahindra XUV500 W8 2WD,2013,49700,Diesel,Individual,Manual,First Owner,15.0,2179.0,140.0,7.0,330.0,2200.0,950000
Toyota Innova 2.5 E Diesel MS 7-seater,2007,80000,Diesel,Individual,Manual,Second Owner,12.0,2494.0,102.0,7.0,200.05565999999996,2400.0,626000
Toyota Qualis Fleet A3,2000,100000,Diesel,Individual,Manual,First Owner,,,,,,,200000
Maruti Swift Dzire AMT VXI,2019,10000,Petrol,Individual,Automatic,First Owner,21.2,1197.0,81.8,5.0,113.0,4200.0,600000
Renault KWID RXT Optional,2019,21000,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,290000
Maruti Alto K10 2010-2014 VXI,2013,25000,Petrol,Individual,Manual,First Owner,20.9,998.0,67.1,5.0,90.0,3500.0,215000
Renault KWID RXT Optional,2016,22000,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,250000
Maruti Alto K10 VXI,2016,20000,Petrol,Individual,Manual,Second Owner,23.9,998.0,67.05,5.0,90.0,3500.0,250000
Honda BRV i-VTEC V CVT,2017,15000,Petrol,Individual,Automatic,First Owner,15.0,1497.0,117.3,7.0,145.0,4600.0,950000
Ford Figo Aspire 1.5 TDCi Titanium,2018,30000,Diesel,Individual,Manual,First Owner,25.8,1498.0,99.0,5.0,215.0,2375.0,793000
Honda Jazz V CVT,2017,6550,Petrol,Individual,Automatic,First Owner,18.0,1199.0,88.7,5.0,110.0,4800.0,725000
Hyundai Grand i10 CRDi Sportz,2016,30000,Diesel,Individual,Manual,First Owner,24.0,1120.0,70.0,5.0,160.0,2125.0,480000
BMW X6 xDrive30d,2013,56000,Diesel,Dealer,Automatic,First Owner,11.0,2993.0,241.0,4.0,540.0,2000.0,3750000
Maruti Swift Dzire ZXI Plus,2018,41779,Petrol,Dealer,Manual,First Owner,21.2,1197.0,81.8,5.0,113.0,4200.0,795000
Honda Jazz 1.2 V i VTEC,2016,54000,Petrol,Dealer,Manual,First Owner,18.0,1199.0,88.7,5.0,110.0,4800.0,625000
Mercedes-Benz E-Class E250 CDI Avantgarde,2016,31000,Diesel,Dealer,Automatic,First Owner,13.0,2143.0,204.0,5.0,500.0,1700.0,2900000
Maruti Ignis 1.3 AMT Zeta,2017,37000,Diesel,Individual,Automatic,First Owner,26.0,1248.0,74.0,5.0,190.0,2000.0,625000
Chevrolet Cruze LTZ AT,2011,90000,Diesel,Individual,Automatic,Second Owner,18.0,1991.0,147.9,4.0,327.0,2600.0,440000
Toyota Corolla Altis 1.8 G,2018,13534,Petrol,Dealer,Manual,First Owner,14.2,1798.0,138.03,5.0,173.0,4000.0,1400000
Mercedes-Benz GLA Class 200 CDI SPORT,2017,23000,Diesel,Dealer,Automatic,First Owner,17.0,2143.0,136.0,5.0,300.0,2300.0,2700000
Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019,43000,Diesel,Dealer,Automatic,First Owner,11.3,2755.0,171.5,8.0,360.0,2300.0,1925000
Kia Seltos HTX Plus AT D,2020,5000,Diesel,Dealer,Automatic,First Owner,17.0,1493.0,113.4,5.0,250.0,2125.0,1900000
Maruti Ciaz RS ZDi Plus SHVS,2017,70000,Diesel,Dealer,Manual,First Owner,28.0,1248.0,88.5,5.0,200.0,1750.0,844999
Skoda Rapid 1.5 TDI AT Style Plus,2016,99000,Diesel,Dealer,Automatic,First Owner,21.6,1498.0,103.52,5.0,250.0,2000.0,650000
BMW 6 Series GT 630d Luxury Line,2018,28156,Diesel,Dealer,Automatic,First Owner,17.0,2993.0,261.4,4.0,620.0,2250.0,6000000
Honda Jazz 1.2 SV i VTEC,2015,30000,Petrol,Dealer,Manual,First Owner,18.0,1199.0,88.7,5.0,110.0,4800.0,610000
Hyundai Creta 1.6 CRDi SX,2017,63309,Diesel,Dealer,Manual,First Owner,19.6,1582.0,126.2,5.0,259.9,2325.0,1150000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,94000,Diesel,Dealer,Automatic,First Owner,11.3,2755.0,171.5,7.0,360.0,2300.0,1825000
Tata Indigo CS eLX BS IV,2017,155000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.01,5.0,140.0,2400.0,385000
Maruti Celerio ZXI AT,2016,35000,Petrol,Individual,Automatic,First Owner,23.0,998.0,67.04,5.0,90.0,3500.0,400000
Hyundai Grand i10 1.2 CRDi Sportz Option,2018,50000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,190.24,2000.0,550000
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,185000,Diesel,Individual,Manual,First Owner,14.0,2499.0,80.0,7.0,186.32635,1800.0,270000
Tata Indigo CS LS (TDI) BS III,2013,175000,Diesel,Individual,Manual,Second Owner,19.0,1396.0,69.0,5.0,135.0,2500.0,200000
Renault KWID RXT Optional,2016,11500,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,310000
Hyundai Xcent 1.2 CRDi S,2019,3000,Diesel,Individual,Manual,First Owner,25.0,1186.0,73.97,5.0,190.25,2000.0,700000
Chevrolet Sail LT ABS,2015,80000,Diesel,Individual,Manual,Second Owner,22.0,1248.0,74.0,5.0,190.0,1750.0,480000
Maruti Alto LXI,2005,40000,Petrol,Individual,Manual,Second Owner,19.0,796.0,46.3,5.0,62.0,3000.0,90000
Maruti Ritz VDi,2015,90000,Diesel,Individual,Manual,First Owner,23.0,1248.0,73.94,5.0,190.0,2000.0,350000
Mahindra Verito 1.5 D6 BSIV,2012,25000,Diesel,Individual,Manual,First Owner,21.0,1461.0,65.0,5.0,160.0,2000.0,350000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,50000,Diesel,Individual,Manual,Third Owner,12.0,2179.0,120.0,8.0,290.0,2300.0,600000
Hyundai Elite i20 Petrol Sportz,2018,31800,Petrol,Individual,Manual,First Owner,18.0,1197.0,81.86,5.0,114.73,4000.0,650000
Hyundai i10 Sportz,2014,65000,Petrol,Individual,Manual,First Owner,20.3,1197.0,78.9,5.0,111.8,4000.0,300000
Mahindra Verito 1.5 D4 BSIII,2012,70000,Diesel,Individual,Manual,Second Owner,20.0,1461.0,65.0,5.0,160.0,2000.0,254999
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,5000,Petrol,Individual,Manual,First Owner,18.1,1196.0,86.8,5.0,112.0,4000.0,650000
Hyundai EON Magna Plus,2017,50000,Petrol,Individual,Manual,Second Owner,21.0,814.0,55.2,5.0,74.5,4000.0,280000
Tata Indica V2 DLS,2011,80000,Diesel,Individual,Manual,First Owner,17.0,1396.0,53.5,5.0,83.35652499999999,2500.0,100000
Chevrolet Tavera Neo 3 9 Str BSIII,2014,70000,Diesel,Individual,Manual,Second Owner,13.5,2499.0,72.4,9.0,171.0,1800.0,575000
Mahindra Bolero 2011-2019 ZLX,2013,157000,Diesel,Individual,Manual,First Owner,15.9,2523.0,62.1,7.0,195.0,1800.0,467000
Hyundai i10 Magna 1.1L,2011,80000,Petrol,Individual,Manual,Second Owner,19.8,1086.0,68.05,5.0,99.04,4500.0,225000
Hyundai Santro GLS I - Euro II,2004,90000,Petrol,Individual,Manual,Third Owner,,,,,,,90000
Hyundai Santro Xing XG AT eRLX Euro III,2004,80000,Petrol,Individual,Automatic,Third Owner,,,,,,,80000
Toyota Etios Liva GD,2012,80000,Diesel,Individual,Manual,First Owner,,,,,,,300000
Mahindra Verito 1.5 D4 BSIV,2012,70000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,65.0,5.0,160.0,2000.0,260000
Chevrolet Spark 1.0 E,2009,50000,Petrol,Individual,Manual,Second Owner,16.0,995.0,63.0,5.0,90.22117999999999,4200.0,90000
Ford Figo Diesel ZXI,2012,60000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,160.0,2000.0,280000
Mahindra Verito 1.5 D4 BSIII,2014,106000,Diesel,Individual,Manual,Second Owner,20.0,1461.0,65.0,5.0,160.0,2000.0,350000
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2006,80000,Diesel,Individual,Manual,Second Owner,10.0,2179.0,120.0,7.0,290.0,2300.0,229999
Mahindra Bolero 2011-2019 DI NON AC BS III White,2016,80000,Diesel,Individual,Manual,Second Owner,15.9,2523.0,63.0,9.0,180.0,1470.0,550000
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,110000,Diesel,Individual,Manual,Second Owner,12.9,2494.0,100.0,8.0,200.0,2400.0,850000
Mahindra Bolero DI,2011,120000,Diesel,Individual,Manual,Third Owner,13.0,2523.0,63.0,7.0,180.0,1470.0,370000
Maruti Wagon R LXI Minor,2010,70000,Petrol,Individual,Manual,Second Owner,18.0,1061.0,67.0,5.0,84.0,3500.0,180000
Hyundai Xcent 1.2 CRDi E,2018,60000,Diesel,Individual,Manual,First Owner,25.0,1186.0,73.97,5.0,190.25,2000.0,530000
Maruti Swift VVT ZXI,2017,15000,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5.0,113.0,4200.0,610000
Maruti Zen Estilo VXI BSIV W ABS,2011,40000,Petrol,Individual,Manual,First Owner,,,,,,,200000
Mahindra Xylo E4 8S,2010,135000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,8.0,260.0,2000.0,265000
Tata Tiago 1.2 Revotron XZ WO Alloy,2018,26300,Petrol,Individual,Manual,First Owner,23.8,1199.0,84.0,5.0,114.0,3500.0,560000
Mahindra Bolero 2011-2019 SLE,2014,120000,Diesel,Individual,Manual,First Owner,15.9,2523.0,62.1,7.0,195.0,1800.0,430000
Maruti Swift Dzire VDI,2017,35000,Diesel,Individual,Manual,First Owner,28.0,1248.0,74.02,5.0,190.0,2000.0,711000
Maruti Swift Dzire VXI,2015,30000,Petrol,Individual,Manual,First Owner,20.8,1197.0,83.14,5.0,115.0,4000.0,511000
Mahindra Bolero 2011-2019 ZLX,2012,165000,Diesel,Individual,Manual,First Owner,15.9,2523.0,62.1,7.0,195.0,1800.0,450000
Tata Zest Revotron 1.2 XT,2015,50000,Petrol,Individual,Manual,First Owner,17.5,1193.0,88.7,5.0,140.0,2750.0,325000
Ford Figo Diesel LXI,2010,100000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,160.0,2000.0,210000
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2009,90000,Petrol,Individual,Manual,Third Owner,,,,,,,140000
Maruti SX4 Vxi BSIII,2007,120000,Petrol,Individual,Manual,Second Owner,15.0,1586.0,104.68,5.0,145.0,4100.0,160000
Maruti Ertiga VXI Limited Edition,2017,70000,Petrol,Individual,Manual,Second Owner,17.0,1373.0,91.1,7.0,130.0,4000.0,650000
Maruti Swift VDI BSIV,2008,90000,Diesel,Individual,Manual,Second Owner,,,,,,,250000
Hyundai i20 Sportz 1.2,2014,72000,Petrol,Individual,Manual,First Owner,18.0,1197.0,81.83,5.0,114.7,4000.0,320000
Renault KWID Climber 1.0 MT,2017,50000,Petrol,Individual,Manual,First Owner,23.0,999.0,67.0,5.0,91.0,4250.0,290000
Mahindra Jeep Classic,1996,5000,Diesel,Individual,Manual,Second Owner,,,,,,,163000
Tata Nano CX,2013,30000,Petrol,Individual,Manual,First Owner,25.0,624.0,37.48,4.0,51.0,4000.0,80000
Maruti Ciaz ZDi Plus,2015,110000,Diesel,Individual,Manual,First Owner,26.2,1248.0,88.5,5.0,200.0,1750.0,600000
Renault KWID RXT,2017,25000,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,340000
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,120000,Diesel,Individual,Manual,First Owner,12.9,2494.0,100.6,7.0,200.0,2400.0,750000
Maruti Alto LX,2006,40000,Petrol,Individual,Manual,First Owner,19.0,796.0,46.3,5.0,62.0,3000.0,100000
Renault KWID RXT Optional,2019,10000,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,395000
Maruti Wagon R VXI Minor,2010,65000,Petrol,Individual,Manual,First Owner,18.0,1061.0,67.0,5.0,84.0,3500.0,200000
Maruti Eeco CNG 5 Seater AC BSIV,2019,10000,CNG,Individual,Manual,First Owner,16.455000000000002,1196.0,61.7,5.0,85.0,3000.0,450000
Mahindra Verito 1.4 G4 BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,13.8,1390.0,75.0,5.0,110.0,3000.0,180000
Mahindra Bolero DI,2008,120000,Diesel,Individual,Manual,Second Owner,13.0,2523.0,63.0,7.0,180.0,1470.0,190000
Maruti Eeco 5 Seater AC BSIV,2015,72000,Petrol,Individual,Manual,First Owner,15.3,1196.0,73.0,5.0,101.0,3000.0,310000
Maruti Ritz VDi,2014,89100,Diesel,Individual,Manual,Second Owner,23.0,1248.0,73.94,5.0,190.0,2000.0,351000
Chevrolet Optra 1.6 LT Royale,2006,94000,Petrol,Individual,Manual,Second Owner,17.0,1599.0,104.0,5.0,148.0,3500.0,190000
Hyundai EON Magna Plus,2015,120000,Petrol,Individual,Manual,Second Owner,21.0,814.0,55.2,5.0,74.5,4000.0,225000
Chevrolet Spark 1.0 LT,2012,110000,Petrol,Individual,Manual,First Owner,16.0,995.0,62.1,5.0,90.3,4200.0,130000
Maruti Ciaz Alpha Diesel,2018,50000,Diesel,Individual,Manual,First Owner,28.0,1248.0,88.5,5.0,200.0,1750.0,1000000
Tata Indica V2 DLS TC,2004,90000,Diesel,Individual,Manual,Third Owner,16.0,1405.0,62.0,5.0,122.583125,2500.0,55000
Chevrolet Sail 1.2 LT ABS,2014,23000,Petrol,Individual,Manual,First Owner,18.0,1199.0,82.4,5.0,108.5,5000.0,330000
Maruti Omni MPI STD BSIV,2013,50000,Petrol,Individual,Manual,First Owner,16.0,796.0,34.2,5.0,59.0,2500.0,166000
Maruti Eeco CNG 5 Seater AC BSIV,2017,140000,CNG,Individual,Manual,First Owner,16.455000000000002,1196.0,61.7,5.0,85.0,3000.0,370000
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,16000,Petrol,Individual,Automatic,First Owner,17.0,1197.0,81.86,5.0,117.0,4000.0,720000
Hyundai Xcent 1.2 VTVT SX,2019,15000,Petrol,Individual,Manual,First Owner,20.1,1197.0,81.86,5.0,113.75,4000.0,570000
Maruti Swift Dzire 1.2 Vxi BSIV,2010,200000,Petrol,Individual,Manual,First Owner,17.0,1197.0,85.8,5.0,114.0,4000.0,210000
Maruti Alto LXi,2009,120000,Petrol,Individual,Manual,First Owner,19.0,796.0,46.3,5.0,62.0,3000.0,120000
Hyundai Getz GLX,2005,120000,Petrol,Individual,Manual,Fourth & Above Owner,15.0,1341.0,83.0,5.0,115.0,3200.0,95000
Maruti Eeco 5 Seater AC BSIV,2016,38000,Petrol,Individual,Manual,First Owner,15.3,1196.0,73.0,5.0,101.0,3000.0,392000
Tata Manza Aura Plus Safire,2010,104000,Petrol,Individual,Manual,First Owner,15.0,1368.0,90.0,5.0,116.0,4750.0,150000
Honda BR-V i-VTEC E MT,2017,120000,Petrol,Individual,Manual,First Owner,15.0,1497.0,117.3,7.0,145.0,4600.0,595000
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,35000,Diesel,Individual,Automatic,First Owner,24.0,1248.0,88.5,5.0,200.0,1750.0,833000
Maruti Swift VDI,2011,210000,Diesel,Individual,Manual,First Owner,22.0,1248.0,74.0,5.0,190.0,2000.0,280000
Maruti Ritz VDi,2009,85000,Diesel,Individual,Manual,Third Owner,21.0,1248.0,73.9,5.0,113.0,4500.0,180000
Maruti Wagon R VXi BSII,2012,80000,Petrol,Individual,Manual,First Owner,18.0,998.0,67.1,5.0,90.0,3500.0,225000
Mercedes-Benz New C-Class 220 CDI AT,2012,50000,Diesel,Individual,Automatic,First Owner,14.8,2143.0,170.0,5.0,400.0,2100.0,1400000
Toyota Innova 2.5 GX 8 STR,2010,216000,Diesel,Individual,Manual,First Owner,12.0,2494.0,102.0,8.0,200.05565999999996,2400.0,550000
Maruti Ciaz VDi Plus SHVS,2015,84000,Diesel,Individual,Manual,First Owner,28.0,1248.0,88.5,5.0,200.0,1750.0,650000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2012,210000,Diesel,Individual,Manual,First Owner,12.9,2494.0,100.0,7.0,200.0,2400.0,730000
Hyundai Getz GLE,2006,100000,Petrol,Individual,Manual,Fourth & Above Owner,15.0,1341.0,83.0,5.0,115.0,3200.0,81000
Maruti Swift Glam,2007,78000,Petrol,Individual,Manual,Second Owner,16.0,1298.0,88.2,5.0,112.77647499999999,4500.0,170000
Honda City 1.5 EXI,2002,161000,Petrol,Individual,Manual,Fourth & Above Owner,13.0,1493.0,100.0,5.0,128.46711499999998,4600.0,81000
Maruti Alto LX,2005,70000,Petrol,Individual,Manual,Third Owner,19.0,796.0,46.3,5.0,62.0,3000.0,95000
Renault Lodgy World Edition 110PS,2017,65000,Diesel,Individual,Manual,First Owner,19.9,1461.0,108.5,8.0,245.0,1750.0,880000
Renault KWID RXL,2015,50000,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,200000
Maruti Wagon R VXI 1.2,2019,25000,Petrol,Individual,Manual,First Owner,20.5,1197.0,81.8,5.0,113.0,4200.0,480000
Mahindra Bolero 2011-2019 Plus AC,2013,100000,Diesel,Individual,Manual,First Owner,15.9,2523.0,62.1,9.0,195.0,1820.0,480000
Hyundai i20 1.2 Asta,2018,6000,Petrol,Individual,Manual,First Owner,18.0,1197.0,81.83,5.0,114.7,4000.0,700000
Honda BRV i-DTEC V MT,2016,72113,Diesel,Individual,Manual,First Owner,21.0,1498.0,98.6,7.0,200.0,1750.0,850000
Tata Indigo CR4,2012,40000,Diesel,Individual,Manual,First Owner,23.5,1396.0,70.0,5.0,140.0,2400.0,300000
Hyundai i20 1.2 Asta Option,2017,8000,Petrol,Individual,Manual,First Owner,18.0,1197.0,81.83,5.0,114.7,4000.0,650000
Maruti Ritz VXI,2010,20000,Petrol,Individual,Manual,First Owner,21.0,1197.0,85.8,5.0,114.0,4000.0,220000
Maruti Swift VDI BSIV,2014,90000,Diesel,Individual,Manual,First Owner,25.0,1248.0,74.0,5.0,190.0,2000.0,400000
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,2018,25000,Diesel,Individual,Manual,First Owner,25.0,1248.0,88.5,5.0,200.0,1750.0,1030000
Tata Manza Aura Quadrajet,2010,100000,Diesel,Individual,Manual,Second Owner,18.0,1248.0,90.0,5.0,200.0,2375.0,190000
Ford Fiesta 1.4 Duratec EXI,2006,60000,Petrol,Individual,Manual,Second Owner,16.0,1388.0,68.0,5.0,159.848395,2000.0,140000
Hyundai i20 Active S Diesel,2018,30000,Diesel,Individual,Manual,First Owner,21.1,1396.0,88.76,5.0,219.66,2125.0,800000
Mahindra Scorpio LX 2.6 Turbo,2007,120000,Diesel,Individual,Manual,Third Owner,10.0,2609.0,120.0,7.0,290.0,2300.0,229999
Tata Safari DICOR 2.2 EX 4x2,2011,80000,Diesel,Individual,Manual,Second Owner,13.9,2179.0,138.03,7.0,320.0,2200.0,300000
Chevrolet Beat LT,2010,75000,Petrol,Individual,Manual,First Owner,18.0,1199.0,79.4,5.0,108.0,4400.0,140000
Hyundai Xcent 1.1 CRDi S Option,2014,90000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,71.01,5.0,180.4,2125.0,420000
Renault Pulse RxZ,2012,100000,Diesel,Individual,Manual,Third Owner,23.0,1461.0,63.12,5.0,160.0,2000.0,300000
Tata Indica Vista Quadrajet VX,2012,110000,Diesel,Individual,Manual,First Owner,22.0,1248.0,74.0,5.0,190.0,2375.0,150000
Ford Figo Diesel Titanium,2011,100000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,160.0,2000.0,204999
Hyundai Xcent 1.2 CRDi SX,2017,50000,Diesel,Individual,Manual,First Owner,25.0,1186.0,73.97,5.0,190.25,2000.0,625000
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),2011,200000,Diesel,Individual,Manual,First Owner,20.0,1248.0,91.7,5.0,209.0,2000.0,280000
Hyundai Santa Fe 2WD AT,2014,146000,Diesel,Individual,Automatic,Second Owner,13.0,2199.0,194.3,7.0,436.39,2150.0,1050000
Chevrolet Optra Magnum 1.6 LT Petrol,2009,80000,Petrol,Individual,Manual,Second Owner,12.0,1598.0,102.5,5.0,148.0,4000.0,250000
Tata New Safari DICOR 2.2 EX 4x2,2010,96443,Diesel,Individual,Manual,Second Owner,11.5,2179.0,138.1,7.0,320.0,2200.0,535000
Honda Accord 2.4 AT,2009,100000,Petrol,Individual,Automatic,Second Owner,11.0,2354.0,177.6,5.0,222.0,4300.0,400000
Maruti Swift AMT VXI,2019,10000,Petrol,Individual,Automatic,First Owner,21.2,1197.0,81.8,5.0,113.0,4200.0,610000
Maruti Swift Dzire VDI,2014,100000,Diesel,Individual,Manual,First Owner,23.0,1248.0,74.0,5.0,190.0,2000.0,511000
Hyundai i20 Sportz 1.4 CRDi,2014,91000,Diesel,Individual,Manual,First Owner,22.5,1396.0,88.73,5.0,219.7,2125.0,451000
Hyundai i10 Sportz,2009,100000,Petrol,Individual,Manual,First Owner,20.3,1197.0,78.9,5.0,111.8,4000.0,170000
Honda City 1.5 V Elegance,2011,90000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,146.0,4800.0,375000
Maruti Alto 800 LXI,2016,60000,Petrol,Individual,Manual,Second Owner,22.7,796.0,47.3,5.0,69.0,3500.0,305000
Renault KWID RXT,2016,51500,Petrol,Individual,Manual,First Owner,25.1,799.0,53.3,5.0,72.0,4386.0,315000
